nit,nfev,njev,nhev,cg_niter,cg_stop_cond,fun,grad,lagrangian_grad,constr,jac,constr_nfev,constr_njev,constr_nhev,v,method,x,optimality,constr_violation,execution_time,tr_radius,constr_penalty,barrier_parameter,barrier_tolerance,status,niter,success,message
14,24,8,0,13,1,2.000006400182989,[1.25619838e+00 3.30638568e-06],[8.88178420e-16 4.25956505e-06],"[array([5.09487198e-06, 5.02055575e+00])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.25619838e+00,  9.53179374e-07])]",tr_interior_point,[5.09487198e-06 5.02055575e+00],4.25956505113459e-06,0.0,0.09221625328063965,109375.0,1.0,6.400000000000003e-06,6.400000000000003e-06,1,14,True,`gtol` termination condition is satisfied.
16,27,9,0,15,1,2.0000012800268814,[1.25618508e+00 6.58906216e-07],[0.00000000e+00 8.50490332e-07],"[array([1.01897910e-06, 5.02052901e+00])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.25618508e+00,  1.91584116e-07])]",tr_interior_point,[1.01897910e-06 5.02052901e+00],8.504903319916716e-07,0.0,0.1015324592590332,546875.0,1.0,1.2800000000000007e-06,1.2800000000000007e-06,1,16,True,`gtol` termination condition is satisfied.
1,3,1,0,0,0,2.2947300306542218,[1.10729745 0.07302007],[0.50190984 0.0870521 ],"[array([0.23595522, 5.27508156])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.60538761,  0.01403203])]",tr_interior_point,[0.23595522 5.27508156],0.5019098396534017,0.0,0.003953456878662109,1.0,1.0,0.1,0.1,1,1,True,`gtol` termination condition is satisfied.
2,6,2,0,1,2,2.179825701985568,[1.17353782 0.06866123],[0.01521504 0.07585239],"[array([0.14340497, 5.15116723])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.15832278,  0.00719116])]",tr_interior_point,[0.14340497 5.15116723],0.07585239117316903,0.0,0.010949134826660156,7.0,1.0,0.1,0.1,1,2,True,`gtol` termination condition is satisfied.
2,6,2,0,1,2,2.179825701985568,[1.17353782 0.06866123],[0.01521504 0.07585239],"[array([0.14340497, 5.15116723])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.15832278,  0.00719116])]",tr_interior_point,[0.14340497 5.15116723],0.07585239117316903,0.0,0.013023853302001953,7.0,1.0,0.1,0.1,1,2,True,`gtol` termination condition is satisfied.
4,9,3,0,3,1,2.0330434106104054,[1.24734226 0.01609006],[0.00033682 0.01670956],"[array([0.02620961, 5.0487015 ])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.24700544e+00,  6.19503650e-04])]",tr_interior_point,[0.02620961 5.0487015 ],0.016709559373074605,0.0,0.026735305786132812,35.0,1.0,0.020000000000000004,0.020000000000000004,1,4,True,`gtol` termination condition is satisfied.
6,12,4,0,5,1,2.00448081845928,[1.25568008 0.00229356],[1.70680404e-06 2.79823546e-03],"[array([3.56336835e-03, 5.02526946e+00])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.25567838e+00,  5.04676823e-04])]",tr_interior_point,[3.56336835e-03 5.02526946e+00],0.0027982354623055064,0.0,0.038053274154663086,175.0,1.0,0.004000000000000001,0.004000000000000001,1,6,True,`gtol` termination condition is satisfied.
7,12,4,0,5,0,2.00448081845928,[1.25568008 0.00229356],[1.30964751e-05 1.65732636e-03],"[array([3.56336835e-03, 5.02526946e+00])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.25566699e+00, -6.36232281e-04])]",tr_interior_point,[3.56336835e-03 5.02526946e+00],0.0016573263582930543,0.0,0.04261374473571777,875.0,1.0,0.0008000000000000003,0.0008000000000000003,1,7,True,`gtol` termination condition is satisfied.
9,15,5,0,7,0,2.0007941123339634,[1.25630683e+00 4.09590665e-04],[4.00615858e-07 3.02487514e-04],"[array([6.31941588e-04, 5.02168936e+00])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.25630643e+00, -1.07103151e-04])]",tr_interior_point,[6.31941588e-04 5.02168936e+00],0.00030248751366753173,0.0,0.056372880935668945,4375.0,1.0,0.00016000000000000007,0.00016000000000000007,1,9,True,`gtol` termination condition is satisfied.
10,18,6,0,9,1,2.000159872048947,[1.25628275e+00 8.26128560e-05],[-1.64874780e-11  1.06461555e-04],"[array([1.27251571e-04, 5.02087376e+00])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.25628275e+00,  2.38486990e-05])]",tr_interior_point,[1.27251571e-04 5.02087376e+00],0.0001064615550157238,0.0,0.06501173973083496,4375.0,1.0,0.00016000000000000007,0.00016000000000000007,1,10,True,`gtol` termination condition is satisfied.
12,21,7,0,11,1,2.000031998241513,[1.25622827e+00 1.65435454e-05],[-4.61852778e-14  2.13048180e-05],"[array([2.54714192e-05, 5.02063313e+00])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.25622827e+00,  4.76127263e-06])]",tr_interior_point,[2.54714192e-05 5.02063313e+00],2.130481799965027e-05,0.0,0.07614803314208984,21875.0,1.0,3.200000000000001e-05,3.200000000000001e-05,1,12,True,`gtol` termination condition is satisfied.
14,24,8,0,13,1,2.000006400182989,[1.25619838e+00 3.30638568e-06],[8.88178420e-16 4.25956505e-06],"[array([5.09487198e-06, 5.02055575e+00])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.25619838e+00,  9.53179374e-07])]",tr_interior_point,[5.09487198e-06 5.02055575e+00],4.25956505113459e-06,0.0,0.08875751495361328,109375.0,1.0,6.400000000000003e-06,6.400000000000003e-06,1,14,True,`gtol` termination condition is satisfied.
16,27,9,0,15,1,2.0000012800268814,[1.25618508e+00 6.58906216e-07],[0.00000000e+00 8.50490332e-07],"[array([1.01897910e-06, 5.02052901e+00])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.25618508e+00,  1.91584116e-07])]",tr_interior_point,[1.01897910e-06 5.02052901e+00],8.504903319916716e-07,0.0,0.10557126998901367,546875.0,1.0,1.2800000000000007e-06,1.2800000000000007e-06,1,16,True,`gtol` termination condition is satisfied.
1,3,1,0,0,0,2.2947300306542218,[1.10729745 0.07302007],[0.50190984 0.0870521 ],"[array([0.23595522, 5.27508156])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.60538761,  0.01403203])]",tr_interior_point,[0.23595522 5.27508156],0.5019098396534017,0.0,0.004041433334350586,1.0,1.0,0.1,0.1,1,1,True,`gtol` termination condition is satisfied.
2,6,2,0,1,2,2.179825701985568,[1.17353782 0.06866123],[0.01521504 0.07585239],"[array([0.14340497, 5.15116723])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.15832278,  0.00719116])]",tr_interior_point,[0.14340497 5.15116723],0.07585239117316903,0.0,0.010595321655273438,7.0,1.0,0.1,0.1,1,2,True,`gtol` termination condition is satisfied.
2,6,2,0,1,2,2.179825701985568,[1.17353782 0.06866123],[0.01521504 0.07585239],"[array([0.14340497, 5.15116723])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.15832278,  0.00719116])]",tr_interior_point,[0.14340497 5.15116723],0.07585239117316903,0.0,0.011477470397949219,7.0,1.0,0.1,0.1,1,2,True,`gtol` termination condition is satisfied.
4,9,3,0,3,1,2.0330434106104054,[1.24734226 0.01609006],[0.00033682 0.01670956],"[array([0.02620961, 5.0487015 ])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.24700544e+00,  6.19503650e-04])]",tr_interior_point,[0.02620961 5.0487015 ],0.016709559373074605,0.0,0.02447223663330078,35.0,1.0,0.020000000000000004,0.020000000000000004,1,4,True,`gtol` termination condition is satisfied.
6,12,4,0,5,1,2.00448081845928,[1.25568008 0.00229356],[1.70680404e-06 2.79823546e-03],"[array([3.56336835e-03, 5.02526946e+00])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.25567838e+00,  5.04676823e-04])]",tr_interior_point,[3.56336835e-03 5.02526946e+00],0.0027982354623055064,0.0,0.03731703758239746,175.0,1.0,0.004000000000000001,0.004000000000000001,1,6,True,`gtol` termination condition is satisfied.
7,12,4,0,5,0,2.00448081845928,[1.25568008 0.00229356],[1.30964751e-05 1.65732636e-03],"[array([3.56336835e-03, 5.02526946e+00])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.25566699e+00, -6.36232281e-04])]",tr_interior_point,[3.56336835e-03 5.02526946e+00],0.0016573263582930543,0.0,0.04273223876953125,875.0,1.0,0.0008000000000000003,0.0008000000000000003,1,7,True,`gtol` termination condition is satisfied.
9,15,5,0,7,0,2.0007941123339634,[1.25630683e+00 4.09590665e-04],[4.00615858e-07 3.02487514e-04],"[array([6.31941588e-04, 5.02168936e+00])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.25630643e+00, -1.07103151e-04])]",tr_interior_point,[6.31941588e-04 5.02168936e+00],0.00030248751366753173,0.0,0.05631756782531738,4375.0,1.0,0.00016000000000000007,0.00016000000000000007,1,9,True,`gtol` termination condition is satisfied.
10,18,6,0,9,1,2.000159872048947,[1.25628275e+00 8.26128560e-05],[-1.64874780e-11  1.06461555e-04],"[array([1.27251571e-04, 5.02087376e+00])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.25628275e+00,  2.38486990e-05])]",tr_interior_point,[1.27251571e-04 5.02087376e+00],0.0001064615550157238,0.0,0.06358170509338379,4375.0,1.0,0.00016000000000000007,0.00016000000000000007,1,10,True,`gtol` termination condition is satisfied.
12,21,7,0,11,1,2.000031998241513,[1.25622827e+00 1.65435454e-05],[-4.61852778e-14  2.13048180e-05],"[array([2.54714192e-05, 5.02063313e+00])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.25622827e+00,  4.76127263e-06])]",tr_interior_point,[2.54714192e-05 5.02063313e+00],2.130481799965027e-05,0.0,0.07459378242492676,21875.0,1.0,3.200000000000001e-05,3.200000000000001e-05,1,12,True,`gtol` termination condition is satisfied.
14,24,8,0,13,1,2.000006400182989,[1.25619838e+00 3.30638568e-06],[8.88178420e-16 4.25956505e-06],"[array([5.09487198e-06, 5.02055575e+00])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.25619838e+00,  9.53179374e-07])]",tr_interior_point,[5.09487198e-06 5.02055575e+00],4.25956505113459e-06,0.0,0.08852243423461914,109375.0,1.0,6.400000000000003e-06,6.400000000000003e-06,1,14,True,`gtol` termination condition is satisfied.
16,27,9,0,15,1,2.0000012800268814,[1.25618508e+00 6.58906216e-07],[0.00000000e+00 8.50490332e-07],"[array([1.01897910e-06, 5.02052901e+00])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.25618508e+00,  1.91584116e-07])]",tr_interior_point,[1.01897910e-06 5.02052901e+00],8.504903319916716e-07,0.0,0.10295629501342773,546875.0,1.0,1.2800000000000007e-06,1.2800000000000007e-06,1,16,True,`gtol` termination condition is satisfied.
